"rule_id","family","rule_text","system_action","normalized_status","source_or_open_note","professional_owner","rule_set_version","effective_from","acceptance_test_id"
"QC-002","ה. GO / NO-GO לכיול, בקרות ומקטע ההרצה","CCV בטווח ±10% מן הערך האמיתי.","כשל → NO-GO לאותו יסוד; קביעת טווח ההשפעה.","SOP_CONFIRMED","SOP §9.8","","","",""
"QC-003","ה. GO / NO-GO לכיול, בקרות ומקטע ההרצה","CCV ו־CCB נבדקים לאחר כל 10 דגימות ובסוף ההרצה.","המערכת יוצרת QC Segment ומקשרת את הדגימות שבין שתי נקודות אימות.","SOP_CONFIRMED","SOP §9.8","","","",""
"QC-004","ה. GO / NO-GO לכיול, בקרות ומקטע ההרצה","Blank תקין אם האנליט מתחת לגבול שנקבע לסוג ה־Blank.","כשל מחזיק את היסוד והמקטע המושפעים.","OPEN_DECISION","ב־SOP: ½ LLOQ וגם LLOQ","","","",""
"QC-005","ה. GO / NO-GO לכיול, בקרות ומקטע ההרצה","אם אימות הכיול נכשל: מפסיקים, מאתרים סיבה, מכיילים מחדש ומודדים מחדש מאז ה־CCV התקין האחרון.","יצירת NO-GO ורשימת Impact אוטומטית.","SOP_CONFIRMED","SOP §9.8","","","",""
"QC-006","ה. GO / NO-GO לכיול, בקרות ומקטע ההרצה","Recovery של ה־Internal Standard בטווח 70–130%.","מחוץ לטווח → מדידה חוזרת או בדיקת עקום; HOLD לתוצאה.","SOP_CONFIRMED","SOP §9.10","","","",""
"QC-007","ה. GO / NO-GO לכיול, בקרות ומקטע ההרצה","לפחות 3 ממוצעי Integration לכל סטנדרט ודגימה.","מספר קטן יותר → כשל שלמות/Method.","SOP_CONFIRMED","SOP §11.3","","","",""
"QC-008","ה. GO / NO-GO לכיול, בקרות ומקטע ההרצה","הרצה הכוללת “ארבע בקרות ו־Blank” והתרת כשל יחיד לאלמנט נמסרה ככלל עבודה.","אין לתכנת עד ליישוב מול כלל ה־SOP המחמיר.","OPEN_DECISION","סתירה מהותית","","","",""
"QC-009","ה. GO / NO-GO לכיול, בקרות ומקטע ההרצה","תדירות ICV אחרי כל 10 דגימות אינה עקבית בין סעיפי ה־SOP והנספח.","הכלל נשאר פרמטר כבוי/אזהרה עד להכרעה.","OPEN_DECISION","נדרש תיקון SOP","","","",""
"QC-010","ה. GO / NO-GO לכיול, בקרות ומקטע ההרצה","Method Blank נכלל בכל אצוות דגימות ועובר את כלל ההכנה המלא.","הרשומה מקושרת ל־Preparation Batch ולכל הדגימות שעליהן היא מגינה.","SOP_CONFIRMED","SOP §9.2","","","",""
"QC-011","ה. GO / NO-GO לכיול, בקרות ומקטע ההרצה","שטיפה ב־Rinse Blank במשך 60 שניות לפחות בין כל סטנדרט ודגימה.","אימות הגדרת ה־Method/Sequence; חריגה נשמרת כאירוע שיטה.","SOP_CONFIRMED","SOP §4.4, §11.3","","","",""
"INT-001","ו. הפרעות, זיכרון ובדיקות תקופתיות","אחרי דגימה מעל 500 mg/L Na/Ca/Mg או מעל 200 mg/L K, הדגימות הבאות נמדדות מחדש בגלל Memory Effect.","סימון Carryover Risk ויצירת משימת מדידה חוזרת לטווח שיוגדר.","SOP_CONFIRMED","SOP §12.2","","","",""
"INT-002","ו. הפרעות, זיכרון ובדיקות תקופתיות","K ניתן לדיווח ללא מיהול עד 1000 mg/L Na; מעל לכך נדרש מיהול.","חריגה → HOLD ל־K ומשימת מיהול.","SOP_CONFIRMED","SOP §12.3.1","","","",""
"INT-003","ו. הפרעות, זיכרון ובדיקות תקופתיות","Sr ניתן לדיווח ללא מיהול עד 500 mg/L Ca; מעל לכך נדרש מיהול.","חריגה → HOLD ל־Sr ומשימת מיהול.","SOP_CONFIRMED","SOP §12.3.2","","","",""
"INT-004","ו. הפרעות, זיכרון ובדיקות תקופתיות","SIC נבדק אחת לרבעון; כל האנליטים מתחת למחצית LLOQ.","שמירה במודול QA והתראה על אי־עמידה.","SOP_CONFIRMED","SOP §9.9","","","",""
"PER-001","ו. הפרעות, זיכרון ובדיקות תקופתיות","LDR ל־Ca/Na/Mg/K מאומת כל 6 חודשים; Recovery ±10%.","פג תוקף → חסימת שיטה/Warning לפי החלטת איכות.","SOP_CONFIRMED","SOP §9.3","","","",""
"PER-002","ו. הפרעות, זיכרון ובדיקות תקופתיות","LLOQ מאומת רבעונית; Mean Recovery ±20% ו־RSD <10%.","שמירה במודול QA; פג תוקף או כשל → פעולה לפי נוהל.","SOP_CONFIRMED","SOP §9.5","","","",""
"QA-001","ז. Spike, Duplicate, חזרות ובחירת תוצאה","Recovery של MS/MSD בטווח 75–125%.","חישוב אוטומטי, GO/NO-GO והעברה למודול Spike QA.","SOP_CONFIRMED","SOP §9.4.1","","","",""
"QA-002","ז. Spike, Duplicate, חזרות ובחירת תוצאה","RPD של Duplicate או MS/MSD ≤20%.","חישוב אוטומטי, GO/NO-GO והעברה למודול Duplicate QA; נוסחת החישוב המדויקת תאושר בנתוני האב.","SOP_CONFIRMED","SOP §9.4","","","",""
"QA-003","ז. Spike, Duplicate, חזרות ובחירת תוצאה","כל ICV/CCV/Standard נשמר גם כרשומת QA לאורך זמן.","הערך, Recovery, לוט, קו, מבט, עקום, מכשיר ותאריך נשלחים לסדרת זמן.","WORKING_DECISION","דרישת עבודה","","","",""
"QA-004","ז. Spike, Duplicate, חזרות ובחירת תוצאה","בפרויקט חדש, ופעם בשנה בפרויקט קיים, נכלל MS+Duplicate כאשר צפויים אנליטים, או MS/MSD כאשר אינם צפויים.","בדיקת תדירות, סוג הזוג וקישור לדגימת המקור; Spike ברמה שבין הסטנדרט הנמוך לאמצעי.","SOP_CONFIRMED","SOP §9.4.1","","","",""
"REP-001","ז. Spike, Duplicate, חזרות ובחירת תוצאה","כל ההרצות והחזרות של אותה דגימה נשמרות ומוצגות יחד.","אין דריסה; לכל ניסיון מזהה וסטטוס נפרדים.","WORKING_DECISION","דרישת עבודה","","","",""
"REP-002","ז. Spike, Duplicate, חזרות ובחירת תוצאה","לכל Sample × Element קיימת תוצאה נבחרת אחת בלבד בכל גרסה.","בחירה חדשה מבטלת לוגית את הקודמת ויוצרת Revision.","WORKING_DECISION","דרישת עבודה","","","",""
"REP-003","ז. Spike, Duplicate, חזרות ובחירת תוצאה","המערכת ממליצה על ניסיון PASS; המפעיל רשאי לבחור ניסיון אחר לפי הרשאה.","בחירה שונה מההמלצה מחייבת סיבה; כללים לבחירת WARNING/FAIL דורשים הכרעה.","OPEN_DECISION","מדיניות Override","","","",""
"APP-001","ז. Spike, Duplicate, חזרות ובחירת תוצאה","תוצאה עוברת למנהל רק לאחר סיום טיפול ואישור מפעיל.","רשומה חסרה/פתוחה נשארת בתור המפעיל.","WORKING_DECISION","דרישת עבודה","","","",""
"APP-002","ז. Spike, Duplicate, חזרות ובחירת תוצאה","כל שינוי ערך, קו, עקום, מיהול, סטטוס או בחירה נשמר ב־Audit Trail.","מי, מתי, ערך קודם/חדש, סיבה ומסמכים תומכים.","WORKING_DECISION","ניהול איכות","","","",""
